Run_ID,Simulation_Seed,Day,Day_Of_Week,Is_Weekend,Plating_Bench_Capacity,Tech_Capacity,Arrivals_Urine,Arrivals_Wound,Arrivals_BCx,Stockout_Incidents,Arrivals_Urine_Lag1,Arrivals_Urine_7Day_Mean,Arrivals_Wound_Lag1,Arrivals_Wound_7Day_Mean,Arrivals_BCx_Lag1,Arrivals_BCx_7Day_Mean
2,44,0,0,0,3,4,186,48,46,280,,186.0,,48.0,,46.0
2,44,1,1,0,3,4,191,46,36,273,186.0,188.5,48.0,47.0,46.0,41.0
2,44,2,2,0,3,4,174,55,32,261,191.0,183.66666666666666,46.0,49.666666666666664,36.0,38.0
2,44,3,3,0,3,4,163,56,19,238,174.0,178.5,55.0,51.25,32.0,33.25
2,44,4,4,0,3,4,165,51,38,254,163.0,175.8,56.0,51.2,19.0,34.2
2,44,5,5,1,3,4,181,53,37,271,165.0,176.66666666666666,51.0,51.5,38.0,34.666666666666664
2,44,6,6,1,3,4,166,50,23,239,181.0,175.14285714285714,53.0,51.285714285714285,37.0,33.0
2,44,7,0,0,3,4,155,49,46,250,166.0,170.71428571428572,50.0,51.42857142857143,23.0,33.0
2,44,8,1,0,3,4,172,43,23,238,155.0,168.0,49.0,51.0,46.0,31.142857142857142
2,44,9,2,0,3,4,180,43,34,257,172.0,168.85714285714286,43.0,49.285714285714285,23.0,31.428571428571427
2,44,10,3,0,3,4,179,35,34,248,180.0,171.14285714285714,43.0,46.285714285714285,34.0,33.57142857142857
2,44,11,4,0,3,4,173,32,30,235,179.0,172.28571428571428,35.0,43.57142857142857,34.0,32.42857142857143
2,44,12,5,1,3,4,148,51,51,250,173.0,167.57142857142858,32.0,43.285714285714285,30.0,34.42857142857143
2,44,13,6,1,3,4,163,45,14,222,148.0,167.14285714285714,51.0,42.57142857142857,51.0,33.142857142857146
3,45,0,0,0,5,3,145,59,27,231,,145.0,,59.0,,27.0
3,45,1,1,0,5,3,175,53,19,247,145.0,160.0,59.0,56.0,27.0,23.0
3,45,2,2,0,5,3,178,40,42,260,175.0,166.0,53.0,50.666666666666664,19.0,29.333333333333332
3,45,3,3,0,5,3,154,51,29,234,178.0,163.0,40.0,50.75,42.0,29.25
3,45,4,4,0,5,3,176,50,18,244,154.0,165.6,51.0,50.6,29.0,27.0
3,45,5,5,1,5,3,176,39,38,253,176.0,167.33333333333334,50.0,48.666666666666664,18.0,28.833333333333332
3,45,6,6,1,5,3,171,57,45,273,176.0,167.85714285714286,39.0,49.857142857142854,38.0,31.142857142857142
3,45,7,0,0,5,3,175,47,30,252,171.0,172.14285714285714,57.0,48.142857142857146,45.0,31.571428571428573
3,45,8,1,0,5,3,171,58,32,261,175.0,171.57142857142858,47.0,48.857142857142854,30.0,33.42857142857143
3,45,9,2,0,5,3,163,35,46,244,171.0,169.42857142857142,58.0,48.142857142857146,32.0,34.0
3,45,10,3,0,5,3,187,32,40,259,163.0,174.14285714285714,35.0,45.42857142857143,46.0,35.57142857142857
3,45,11,4,0,5,3,152,54,48,254,187.0,170.71428571428572,32.0,46.0,40.0,39.857142857142854
3,45,12,5,1,5,3,146,58,39,243,152.0,166.42857142857142,54.0,48.714285714285715,48.0,40.0
3,45,13,6,1,5,3,168,50,44,262,146.0,166.0,58.0,47.714285714285715,39.0,39.857142857142854
4,46,0,0,0,5,4,156,53,37,246,,156.0,,53.0,,37.0
4,46,1,1,0,5,4,189,61,24,274,156.0,172.5,53.0,57.0,37.0,30.5
4,46,2,2,0,5,4,153,56,53,262,189.0,166.0,61.0,56.666666666666664,24.0,38.0
4,46,3,3,0,5,4,154,42,43,239,153.0,163.0,56.0,53.0,53.0,39.25
4,46,4,4,0,5,4,175,45,48,268,154.0,165.4,42.0,51.4,43.0,41.0
4,46,5,5,1,5,4,175,66,25,266,175.0,167.0,45.0,53.833333333333336,48.0,38.333333333333336
4,46,6,6,1,5,4,159,50,47,256,175.0,165.85714285714286,66.0,53.285714285714285,25.0,39.57142857142857
4,46,7,0,0,5,4,149,48,40,237,159.0,164.85714285714286,50.0,52.57142857142857,47.0,40.0
4,46,8,1,0,5,4,178,55,28,261,149.0,163.28571428571428,48.0,51.714285714285715,40.0,40.57142857142857
4,46,9,2,0,5,4,177,49,39,265,178.0,166.71428571428572,55.0,50.714285714285715,28.0,38.57142857142857
4,46,10,3,0,5,4,153,49,34,236,177.0,166.57142857142858,49.0,51.714285714285715,39.0,37.285714285714285
4,46,11,4,0,5,4,169,48,41,258,153.0,165.71428571428572,49.0,52.142857142857146,34.0,36.285714285714285
4,46,12,5,1,5,4,166,48,26,240,169.0,164.42857142857142,48.0,49.57142857142857,41.0,36.42857142857143
4,46,13,6,1,5,4,190,56,44,290,166.0,168.85714285714286,48.0,50.42857142857143,26.0,36.0
5,47,0,0,0,4,4,146,55,37,238,,146.0,,55.0,,37.0
5,47,1,1,0,4,4,138,42,39,219,146.0,142.0,55.0,48.5,37.0,38.0
5,47,2,2,0,4,4,144,41,39,224,138.0,142.66666666666666,42.0,46.0,39.0,38.333333333333336
5,47,3,3,0,4,4,187,42,37,266,144.0,153.75,41.0,45.0,39.0,38.0
5,47,4,4,0,4,4,168,48,22,238,187.0,156.6,42.0,45.6,37.0,34.8
5,47,5,5,1,4,4,155,46,32,233,168.0,156.33333333333334,48.0,45.666666666666664,22.0,34.333333333333336
5,47,6,6,1,4,4,149,45,51,245,155.0,155.28571428571428,46.0,45.57142857142857,32.0,36.714285714285715
5,47,7,0,0,4,4,160,54,20,234,149.0,157.28571428571428,45.0,45.42857142857143,51.0,34.285714285714285
5,47,8,1,0,4,4,154,49,38,241,160.0,159.57142857142858,54.0,46.42857142857143,20.0,34.142857142857146
5,47,9,2,0,4,4,153,36,33,222,154.0,160.85714285714286,49.0,45.714285714285715,38.0,33.285714285714285
5,47,10,3,0,4,4,153,51,28,232,153.0,156.0,36.0,47.0,33.0,32.0
5,47,11,4,0,4,4,179,47,45,271,153.0,157.57142857142858,51.0,46.857142857142854,28.0,35.285714285714285
5,47,12,5,1,4,4,151,54,25,230,179.0,157.0,47.0,48.0,45.0,34.285714285714285
5,47,13,6,1,4,4,174,56,31,261,151.0,160.57142857142858,54.0,49.57142857142857,25.0,31.428571428571427
6,48,0,0,0,3,5,155,38,33,226,,155.0,,38.0,,33.0
6,48,1,1,0,3,5,144,50,46,240,155.0,149.5,38.0,44.0,33.0,39.5
6,48,2,2,0,3,5,141,45,42,228,144.0,146.66666666666666,50.0,44.333333333333336,46.0,40.333333333333336
6,48,3,3,0,3,5,118,54,50,222,141.0,139.5,45.0,46.75,42.0,42.75
6,48,4,4,0,3,5,162,46,28,236,118.0,144.0,54.0,46.6,50.0,39.8
6,48,5,5,1,3,5,167,41,42,250,162.0,147.83333333333334,46.0,45.666666666666664,28.0,40.166666666666664
6,48,6,6,1,3,5,158,57,35,250,167.0,149.28571428571428,41.0,47.285714285714285,42.0,39.42857142857143
6,48,7,0,0,3,5,184,40,33,257,158.0,153.42857142857142,57.0,47.57142857142857,35.0,39.42857142857143
6,48,8,1,0,3,5,199,43,32,274,184.0,161.28571428571428,40.0,46.57142857142857,33.0,37.42857142857143
6,48,9,2,0,3,5,170,40,41,251,199.0,165.42857142857142,43.0,45.857142857142854,32.0,37.285714285714285
6,48,10,3,0,3,5,133,42,37,212,170.0,167.57142857142858,40.0,44.142857142857146,41.0,35.42857142857143
6,48,11,4,0,3,5,178,60,29,267,133.0,169.85714285714286,42.0,46.142857142857146,37.0,35.57142857142857
6,48,12,5,1,3,5,150,45,30,225,178.0,167.42857142857142,60.0,46.714285714285715,29.0,33.857142857142854
6,48,13,6,1,3,5,154,43,20,217,150.0,166.85714285714286,45.0,44.714285714285715,30.0,31.714285714285715
7,49,0,0,0,3,5,182,48,20,250,,182.0,,48.0,,20.0
7,49,1,1,0,3,5,158,56,38,252,182.0,170.0,48.0,52.0,20.0,29.0
7,49,2,2,0,3,5,160,51,28,239,158.0,166.66666666666666,56.0,51.666666666666664,38.0,28.666666666666668
7,49,3,3,0,3,5,143,49,47,239,160.0,160.75,51.0,51.0,28.0,33.25
7,49,4,4,0,3,5,163,54,53,270,143.0,161.2,49.0,51.6,47.0,37.2
7,49,5,5,1,3,5,145,37,48,230,163.0,158.5,54.0,49.166666666666664,53.0,39.0
7,49,6,6,1,3,5,165,42,37,244,145.0,159.42857142857142,37.0,48.142857142857146,48.0,38.714285714285715
7,49,7,0,0,3,5,158,50,57,265,165.0,156.0,42.0,48.42857142857143,37.0,44.0
7,49,8,1,0,3,5,144,47,30,221,158.0,154.0,50.0,47.142857142857146,57.0,42.857142857142854
7,49,9,2,0,3,5,149,57,42,248,144.0,152.42857142857142,47.0,48.0,30.0,44.857142857142854
7,49,10,3,0,3,5,141,40,39,220,149.0,152.14285714285714,57.0,46.714285714285715,42.0,43.714285714285715
7,49,11,4,0,3,5,166,39,37,242,141.0,152.57142857142858,40.0,44.57142857142857,39.0,41.42857142857143
7,49,12,5,1,3,5,168,41,46,255,166.0,155.85714285714286,39.0,45.142857142857146,37.0,41.142857142857146
7,49,13,6,1,3,5,162,42,37,241,168.0,155.42857142857142,41.0,45.142857142857146,46.0,41.142857142857146
8,50,0,0,0,4,4,162,46,23,231,,162.0,,46.0,,23.0
8,50,1,1,0,4,4,164,46,53,263,162.0,163.0,46.0,46.0,23.0,38.0
8,50,2,2,0,4,4,180,60,42,282,164.0,168.66666666666666,46.0,50.666666666666664,53.0,39.333333333333336
8,50,3,3,0,4,4,178,52,32,262,180.0,171.0,60.0,51.0,42.0,37.5
8,50,4,4,0,4,4,149,38,52,239,178.0,166.6,52.0,48.4,32.0,40.4
8,50,5,5,1,4,4,183,39,39,261,149.0,169.33333333333334,38.0,46.833333333333336,52.0,40.166666666666664
8,50,6,6,1,4,4,173,51,48,272,183.0,169.85714285714286,39.0,47.42857142857143,39.0,41.285714285714285
8,50,7,0,0,4,4,156,57,46,259,173.0,169.0,51.0,49.0,48.0,44.57142857142857
8,50,8,1,0,4,4,167,52,38,257,156.0,169.42857142857142,57.0,49.857142857142854,46.0,42.42857142857143
8,50,9,2,0,4,4,160,52,34,246,167.0,166.57142857142858,52.0,48.714285714285715,38.0,41.285714285714285
8,50,10,3,0,4,4,166,44,40,250,160.0,164.85714285714286,52.0,47.57142857142857,34.0,42.42857142857143
8,50,11,4,0,4,4,186,52,14,252,166.0,170.14285714285714,44.0,49.57142857142857,40.0,37.0
8,50,12,5,1,4,4,182,56,36,274,186.0,170.0,52.0,52.0,14.0,36.57142857142857
8,50,13,6,1,4,4,151,47,30,228,182.0,166.85714285714286,56.0,51.42857142857143,36.0,34.0
9,51,0,0,0,4,4,181,51,48,280,,181.0,,51.0,,48.0
9,51,1,1,0,4,4,175,59,40,274,181.0,178.0,51.0,55.0,48.0,44.0
9,51,2,2,0,4,4,172,49,29,250,175.0,176.0,59.0,53.0,40.0,39.0
9,51,3,3,0,4,4,154,58,30,242,172.0,170.5,49.0,54.25,29.0,36.75
9,51,4,4,0,4,4,182,53,21,256,154.0,172.8,58.0,54.0,30.0,33.6
9,51,5,5,1,4,4,167,42,39,248,182.0,171.83333333333334,53.0,52.0,21.0,34.5
9,51,6,6,1,4,4,180,36,32,248,167.0,173.0,42.0,49.714285714285715,39.0,34.142857142857146
9,51,7,0,0,4,4,159,41,51,251,180.0,169.85714285714286,36.0,48.285714285714285,32.0,34.57142857142857
9,51,8,1,0,4,4,169,49,39,257,159.0,169.0,41.0,46.857142857142854,51.0,34.42857142857143
9,51,9,2,0,4,4,158,51,21,230,169.0,167.0,49.0,47.142857142857146,39.0,33.285714285714285
9,51,10,3,0,4,4,156,49,28,233,158.0,167.28571428571428,51.0,45.857142857142854,21.0,33.0
9,51,11,4,0,4,4,171,57,25,253,156.0,165.71428571428572,49.0,46.42857142857143,28.0,33.57142857142857
9,51,12,5,1,4,4,157,54,47,258,171.0,164.28571428571428,57.0,48.142857142857146,25.0,34.714285714285715
9,51,13,6,1,4,4,146,50,43,239,157.0,159.42857142857142,54.0,50.142857142857146,47.0,36.285714285714285
10,52,0,0,0,4,3,146,58,39,243,,146.0,,58.0,,39.0
10,52,1,1,0,4,3,172,55,47,274,146.0,159.0,58.0,56.5,39.0,43.0
10,52,2,2,0,4,3,178,52,33,263,172.0,165.33333333333334,55.0,55.0,47.0,39.666666666666664
10,52,3,3,0,4,3,183,51,40,274,178.0,169.75,52.0,54.0,33.0,39.75
10,52,4,4,0,4,3,149,54,35,238,183.0,165.6,51.0,54.0,40.0,38.8
10,52,5,5,1,4,3,162,41,36,239,149.0,165.0,54.0,51.833333333333336,35.0,38.333333333333336
10,52,6,6,1,4,3,156,39,45,240,162.0,163.71428571428572,41.0,50.0,36.0,39.285714285714285
10,52,7,0,0,4,3,155,41,33,229,156.0,165.0,39.0,47.57142857142857,45.0,38.42857142857143
10,52,8,1,0,4,3,169,37,40,246,155.0,164.57142857142858,41.0,45.0,33.0,37.42857142857143
10,52,9,2,0,4,3,158,44,45,247,169.0,161.71428571428572,37.0,43.857142857142854,40.0,39.142857142857146
10,52,10,3,0,4,3,168,54,24,246,158.0,159.57142857142858,44.0,44.285714285714285,45.0,36.857142857142854
10,52,11,4,0,4,3,172,42,27,241,168.0,162.85714285714286,54.0,42.57142857142857,24.0,35.714285714285715
10,52,12,5,1,4,3,144,46,55,245,172.0,160.28571428571428,42.0,43.285714285714285,27.0,38.42857142857143
10,52,13,6,1,4,3,166,49,17,232,144.0,161.71428571428572,46.0,44.714285714285715,55.0,34.42857142857143
11,53,0,0,0,5,3,153,40,11,204,,153.0,,40.0,,11.0
11,53,1,1,0,5,3,154,48,51,253,153.0,153.5,40.0,44.0,11.0,31.0
11,53,2,2,0,5,3,191,48,43,282,154.0,166.0,48.0,45.333333333333336,51.0,35.0
11,53,3,3,0,5,3,150,50,46,246,191.0,162.0,48.0,46.5,43.0,37.75
11,53,4,4,0,5,3,169,52,43,264,150.0,163.4,50.0,47.6,46.0,38.8
11,53,5,5,1,5,3,147,54,41,242,169.0,160.66666666666666,52.0,48.666666666666664,43.0,39.166666666666664
11,53,6,6,1,5,3,146,44,25,215,147.0,158.57142857142858,54.0,48.0,41.0,37.142857142857146
11,53,7,0,0,5,3,153,47,35,235,146.0,158.57142857142858,44.0,49.0,25.0,40.57142857142857
11,53,8,1,0,5,3,182,56,21,259,153.0,162.57142857142858,47.0,50.142857142857146,35.0,36.285714285714285
11,53,9,2,0,5,3,169,43,45,257,182.0,159.42857142857142,56.0,49.42857142857143,21.0,36.57142857142857
11,53,10,3,0,5,3,165,45,33,243,169.0,161.57142857142858,43.0,48.714285714285715,45.0,34.714285714285715
11,53,11,4,0,5,3,164,67,37,268,165.0,160.85714285714286,45.0,50.857142857142854,33.0,33.857142857142854
11,53,12,5,1,5,3,169,51,19,239,164.0,164.0,67.0,50.42857142857143,37.0,30.714285714285715
11,53,13,6,1,5,3,150,36,42,228,169.0,164.57142857142858,51.0,49.285714285714285,19.0,33.142857142857146
12,54,0,0,0,5,4,156,44,57,257,,156.0,,44.0,,57.0
12,54,1,1,0,5,4,141,52,37,230,156.0,148.5,44.0,48.0,57.0,47.0
12,54,2,2,0,5,4,179,49,25,253,141.0,158.66666666666666,52.0,48.333333333333336,37.0,39.666666666666664
12,54,3,3,0,5,4,168,51,35,254,179.0,161.0,49.0,49.0,25.0,38.5
12,54,4,4,0,5,4,180,57,43,280,168.0,164.8,51.0,50.6,35.0,39.4
12,54,5,5,1,5,4,172,48,40,260,180.0,166.0,57.0,50.166666666666664,43.0,39.5
12,54,6,6,1,5,4,166,71,47,284,172.0,166.0,48.0,53.142857142857146,40.0,40.57142857142857
12,54,7,0,0,5,4,164,47,28,239,166.0,167.14285714285714,71.0,53.57142857142857,47.0,36.42857142857143
12,54,8,1,0,5,4,139,49,36,224,164.0,166.85714285714286,47.0,53.142857142857146,28.0,36.285714285714285
12,54,9,2,0,5,4,174,56,33,263,139.0,166.14285714285714,49.0,54.142857142857146,36.0,37.42857142857143
12,54,10,3,0,5,4,163,52,18,233,174.0,165.42857142857142,56.0,54.285714285714285,33.0,35.0
12,54,11,4,0,5,4,184,66,26,276,163.0,166.0,52.0,55.57142857142857,18.0,32.57142857142857
12,54,12,5,1,5,4,147,46,38,231,184.0,162.42857142857142,66.0,55.285714285714285,26.0,32.285714285714285
12,54,13,6,1,5,4,154,38,27,219,147.0,160.71428571428572,46.0,50.57142857142857,38.0,29.428571428571427
13,55,0,0,0,4,4,169,46,35,250,,169.0,,46.0,,35.0
13,55,1,1,0,4,4,196,57,22,275,169.0,182.5,46.0,51.5,35.0,28.5
13,55,2,2,0,4,4,162,43,46,251,196.0,175.66666666666666,57.0,48.666666666666664,22.0,34.333333333333336
13,55,3,3,0,4,4,152,48,59,259,162.0,169.75,43.0,48.5,46.0,40.5
13,55,4,4,0,4,4,169,45,37,251,152.0,169.6,48.0,47.8,59.0,39.8
13,55,5,5,1,4,4,141,51,48,240,169.0,164.83333333333334,45.0,48.333333333333336,37.0,41.166666666666664
13,55,6,6,1,4,4,180,44,29,253,141.0,167.0,51.0,47.714285714285715,48.0,39.42857142857143
13,55,7,0,0,4,4,154,57,44,255,180.0,164.85714285714286,44.0,49.285714285714285,29.0,40.714285714285715
13,55,8,1,0,4,4,161,41,24,226,154.0,159.85714285714286,57.0,47.0,44.0,41.0
13,55,9,2,0,4,4,149,49,34,232,161.0,158.0,41.0,47.857142857142854,24.0,39.285714285714285
13,55,10,3,0,4,4,167,57,40,264,149.0,160.14285714285714,49.0,49.142857142857146,34.0,36.57142857142857
13,55,11,4,0,4,4,178,48,49,275,167.0,161.42857142857142,57.0,49.57142857142857,40.0,38.285714285714285
13,55,12,5,1,4,4,181,42,30,253,178.0,167.14285714285714,48.0,48.285714285714285,49.0,35.714285714285715
13,55,13,6,1,4,4,158,45,21,224,181.0,164.0,42.0,48.42857142857143,30.0,34.57142857142857
14,56,0,0,0,3,5,151,65,33,249,,151.0,,65.0,,33.0
14,56,1,1,0,3,5,159,47,27,233,151.0,155.0,65.0,56.0,33.0,30.0
14,56,2,2,0,3,5,148,59,29,236,159.0,152.66666666666666,47.0,57.0,27.0,29.666666666666668
14,56,3,3,0,3,5,186,55,34,275,148.0,161.0,59.0,56.5,29.0,30.75
14,56,4,4,0,3,5,171,42,43,256,186.0,163.0,55.0,53.6,34.0,33.2
14,56,5,5,1,3,5,138,38,30,206,171.0,158.83333333333334,42.0,51.0,43.0,32.666666666666664
14,56,6,6,1,3,5,167,52,33,252,138.0,160.0,38.0,51.142857142857146,30.0,32.714285714285715
14,56,7,0,0,3,5,158,49,25,232,167.0,161.0,52.0,48.857142857142854,33.0,31.571428571428573
14,56,8,1,0,3,5,178,50,20,248,158.0,163.71428571428572,49.0,49.285714285714285,25.0,30.571428571428573
14,56,9,2,0,3,5,162,46,29,237,178.0,165.71428571428572,50.0,47.42857142857143,20.0,30.571428571428573
14,56,10,3,0,3,5,152,46,24,222,162.0,160.85714285714286,46.0,46.142857142857146,29.0,29.142857142857142
14,56,11,4,0,3,5,175,55,52,282,152.0,161.42857142857142,46.0,48.0,24.0,30.428571428571427
14,56,12,5,1,3,5,164,46,34,244,175.0,165.14285714285714,55.0,49.142857142857146,52.0,31.0
14,56,13,6,1,3,5,156,64,39,259,164.0,163.57142857142858,46.0,50.857142857142854,34.0,31.857142857142858
15,57,0,0,0,5,4,179,46,44,269,,179.0,,46.0,,44.0
15,57,1,1,0,5,4,137,43,35,215,179.0,158.0,46.0,44.5,44.0,39.5
15,57,2,2,0,5,4,146,48,22,216,137.0,154.0,43.0,45.666666666666664,35.0,33.666666666666664
15,57,3,3,0,5,4,159,47,43,249,146.0,155.25,48.0,46.0,22.0,36.0
15,57,4,4,0,5,4,171,43,24,238,159.0,158.4,47.0,45.4,43.0,33.6
15,57,5,5,1,5,4,161,55,27,243,171.0,158.83333333333334,43.0,47.0,24.0,32.5
15,57,6,6,1,5,4,160,51,40,251,161.0,159.0,55.0,47.57142857142857,27.0,33.57142857142857
15,57,7,0,0,5,4,176,45,36,257,160.0,158.57142857142858,51.0,47.42857142857143,40.0,32.42857142857143
15,57,8,1,0,5,4,141,59,35,235,176.0,159.14285714285714,45.0,49.714285714285715,36.0,32.42857142857143
15,57,9,2,0,5,4,163,56,45,264,141.0,161.57142857142858,59.0,50.857142857142854,35.0,35.714285714285715
15,57,10,3,0,5,4,147,51,36,234,163.0,159.85714285714286,56.0,51.42857142857143,45.0,34.714285714285715
15,57,11,4,0,5,4,163,44,45,252,147.0,158.71428571428572,51.0,51.57142857142857,36.0,37.714285714285715
15,57,12,5,1,5,4,178,48,41,267,163.0,161.14285714285714,44.0,50.57142857142857,45.0,39.714285714285715
15,57,13,6,1,5,4,165,51,40,256,178.0,161.85714285714286,48.0,50.57142857142857,41.0,39.714285714285715
16,58,0,0,0,3,4,173,53,47,273,,173.0,,53.0,,47.0
16,58,1,1,0,3,4,153,35,37,225,173.0,163.0,53.0,44.0,47.0,42.0
16,58,2,2,0,3,4,164,38,44,246,153.0,163.33333333333334,35.0,42.0,37.0,42.666666666666664
16,58,3,3,0,3,4,146,46,19,211,164.0,159.0,38.0,43.0,44.0,36.75
16,58,4,4,0,3,4,161,55,35,251,146.0,159.4,46.0,45.4,19.0,36.4
16,58,5,5,1,3,4,163,46,34,243,161.0,160.0,55.0,45.5,35.0,36.0
16,58,6,6,1,3,4,164,53,30,247,163.0,160.57142857142858,46.0,46.57142857142857,34.0,35.142857142857146
16,58,7,0,0,3,4,159,66,32,257,164.0,158.57142857142858,53.0,48.42857142857143,30.0,33.0
16,58,8,1,0,3,4,167,45,25,237,159.0,160.57142857142858,66.0,49.857142857142854,32.0,31.285714285714285
16,58,9,2,0,3,4,166,50,31,247,167.0,160.85714285714286,45.0,51.57142857142857,25.0,29.428571428571427
16,58,10,3,0,3,4,162,52,50,264,166.0,163.14285714285714,50.0,52.42857142857143,31.0,33.857142857142854
16,58,11,4,0,3,4,159,54,39,252,162.0,162.85714285714286,52.0,52.285714285714285,50.0,34.42857142857143
16,58,12,5,1,3,4,155,49,45,249,159.0,161.71428571428572,54.0,52.714285714285715,39.0,36.0
16,58,13,6,1,3,4,170,37,41,248,155.0,162.57142857142858,49.0,50.42857142857143,45.0,37.57142857142857
17,59,0,0,0,4,4,159,36,38,233,,159.0,,36.0,,38.0
17,59,1,1,0,4,4,178,45,48,271,159.0,168.5,36.0,40.5,38.0,43.0
17,59,2,2,0,4,4,161,49,49,259,178.0,166.0,45.0,43.333333333333336,48.0,45.0
17,59,3,3,0,4,4,152,43,31,226,161.0,162.5,49.0,43.25,49.0,41.5
17,59,4,4,0,4,4,150,51,22,223,152.0,160.0,43.0,44.8,31.0,37.6
17,59,5,5,1,4,4,174,45,36,255,150.0,162.33333333333334,51.0,44.833333333333336,22.0,37.333333333333336
17,59,6,6,1,4,4,175,44,32,251,174.0,164.14285714285714,45.0,44.714285714285715,36.0,36.57142857142857
17,59,7,0,0,4,4,139,44,44,227,175.0,161.28571428571428,44.0,45.857142857142854,32.0,37.42857142857143
17,59,8,1,0,4,4,162,50,32,244,139.0,159.0,44.0,46.57142857142857,44.0,35.142857142857146
17,59,9,2,0,4,4,160,46,38,244,162.0,158.85714285714286,50.0,46.142857142857146,32.0,33.57142857142857
17,59,10,3,0,4,4,167,41,39,247,160.0,161.0,46.0,45.857142857142854,38.0,34.714285714285715
17,59,11,4,0,4,4,177,51,25,253,167.0,164.85714285714286,41.0,45.857142857142854,39.0,35.142857142857146
17,59,12,5,1,4,4,172,54,18,244,177.0,164.57142857142858,51.0,47.142857142857146,25.0,32.57142857142857
17,59,13,6,1,4,4,185,44,42,271,172.0,166.0,54.0,47.142857142857146,18.0,34.0
18,60,0,0,0,5,3,176,44,23,243,,176.0,,44.0,,23.0
18,60,1,1,0,5,3,162,51,39,252,176.0,169.0,44.0,47.5,23.0,31.0
18,60,2,2,0,5,3,178,46,42,266,162.0,172.0,51.0,47.0,39.0,34.666666666666664
18,60,3,3,0,5,3,191,53,31,275,178.0,176.75,46.0,48.5,42.0,33.75
18,60,4,4,0,5,3,159,45,36,240,191.0,173.2,53.0,47.8,31.0,34.2
18,60,5,5,1,5,3,158,50,31,239,159.0,170.66666666666666,45.0,48.166666666666664,36.0,33.666666666666664
18,60,6,6,1,5,3,156,53,32,241,158.0,168.57142857142858,50.0,48.857142857142854,31.0,33.42857142857143
18,60,7,0,0,5,3,170,52,21,243,156.0,167.71428571428572,53.0,50.0,32.0,33.142857142857146
